Number of Deposits,Number of Withdrawals,"Paid Previous Loan (0-No, 1-Yes)",Salary,Age,Account Balance,Loan Amount Requested,Number of Late Payments,Credit Score (0-100),Years at Current Job,Loan Approval
13,2,1,158325,34,203385,127949,0,85,13,Qualify for Loan
12,6,1,169473,34,265863,108141,1,96,14,Qualify for Loan
7,6,0,45205,24,15275,85103,6,47,2,Not Qualify for Loan
11,1,1,152573,29,221672,185566,0,94,9,Qualify for Loan
8,4,1,52219,36,92929,177309,0,93,12,Qualify for Loan
19,2,1,114218,25,214912,82430,1,75,9,Qualify for Loan
9,19,0,22180,30,15372,59796,2,43,3,Not Qualify for Loan
14,2,1,64442,48,239138,143501,1,99,14,Qualify for Loan
4,8,0,23843,44,48529,101726,2,33,0,Not Qualify for Loan
13,4,1,126664,42,193927,135178,0,71,14,Qualify for Loan
8,17,1,59216,44,40774,32568,9,20,3,Not Qualify for Loan
7,6,1,14703,28,6563,186921,6,53,3,Not Qualify for Loan
9,8,0,50695,42,25242,85841,4,20,0,Not Qualify for Loan
15,4,1,113477,45,55569,119836,1,80,12,Qualify for Loan
19,5,1,147507,45,64743,96101,1,73,14,Qualify for Loan
14,1,1,91955,49,201165,187227,1,85,12,Qualify for Loan
8,7,1,112518,28,89104,199134,1,81,7,Qualify for Loan
16,2,1,173272,53,249569,71357,1,71,7,Qualify for Loan
6,10,1,25282,22,42409,182850,2,47,3,Not Qualify for Loan
9,4,1,146611,53,256803,116641,1,70,3,Qualify for Loan
9,7,0,19788,38,10922,197361,3,62,0,Not Qualify for Loan
10,6,1,127959,35,55741,161585,0,97,6,Qualify for Loan
8,2,1,196123,51,256126,197256,1,91,14,Qualify for Loan
10,1,1,170351,36,88635,145071,1,92,11,Qualify for Loan
8,4,1,52763,41,241172,148142,0,75,4,Qualify for Loan
9,14,0,34690,23,29345,207385,5,30,5,Not Qualify for Loan
19,7,1,106677,44,237613,184327,1,99,14,Qualify for Loan
8,17,1,29614,28,39882,186995,3,57,5,Not Qualify for Loan
8,3,1,167534,25,154537,128477,1,75,6,Qualify for Loan
14,0,1,193262,44,73377,88211,1,70,5,Qualify for Loan
9,14,1,42172,26,11577,107299,2,54,4,Not Qualify for Loan
14,1,1,126120,34,232721,191130,0,79,3,Qualify for Loan
12,6,1,88442,46,184066,175844,0,93,7,Qualify for Loan
2,8,1,31510,30,44064,37813,8,34,2,Not Qualify for Loan
1,16,0,29769,41,6396,160608,4,61,3,Not Qualify for Loan
0,17,1,43755,24,37383,143816,4,42,5,Not Qualify for Loan
9,17,1,42598,29,12602,148474,2,60,4,Not Qualify for Loan
19,4,1,49337,52,111529,152023,1,97,3,Qualify for Loan
7,5,0,52823,44,30659,131376,4,50,5,Not Qualify for Loan
9,13,1,29065,21,17924,118092,6,57,2,Not Qualify for Loan
12,1,1,68172,29,298933,68199,1,91,2,Qualify for Loan
9,11,0,39926,41,49277,77915,2,36,4,Not Qualify for Loan
18,7,1,187175,53,128278,62391,0,75,3,Qualify for Loan
8,0,1,152360,37,264941,162755,1,91,8,Qualify for Loan
13,5,1,174508,43,126213,186967,0,96,3,Qualify for Loan
12,4,1,50916,34,213273,194528,0,83,10,Qualify for Loan
18,7,1,150268,45,104886,187337,0,92,12,Qualify for Loan
9,13,1,18392,27,13067,143569,2,42,5,Not Qualify for Loan
2,6,1,16614,40,7415,249763,8,64,4,Not Qualify for Loan
9,4,1,90859,50,285167,120467,0,80,9,Qualify for Loan
19,7,1,122844,37,215421,172402,0,75,3,Qualify for Loan
12,1,1,197661,42,133309,176446,0,75,12,Qualify for Loan
10,7,1,184931,53,212491,168865,1,70,6,Qualify for Loan
8,5,1,83361,48,84540,134700,1,74,12,Qualify for Loan
0,18,1,10956,43,8595,208980,5,47,3,Not Qualify for Loan
3,13,1,37384,23,44425,68756,2,43,2,Not Qualify for Loan
1,15,1,16737,39,25510,49426,3,61,0,Not Qualify for Loan
13,7,1,176602,33,169101,53748,0,88,11,Qualify for Loan
8,6,1,172130,30,126260,190272,0,83,13,Qualify for Loan
10,4,1,188172,28,71949,87744,1,71,13,Qualify for Loan
12,6,1,156136,51,278862,69288,0,91,11,Qualify for Loan
11,3,1,177050,32,67153,109765,0,90,13,Qualify for Loan
16,2,1,66649,44,138668,195639,0,88,7,Qualify for Loan
9,9,1,26544,27,25344,33748,8,41,5,Not Qualify for Loan
14,1,1,101877,46,99922,144074,1,81,2,Qualify for Loan
14,1,1,69592,48,189788,160627,0,89,2,Qualify for Loan
5,14,0,38273,30,5668,208267,3,53,5,Not Qualify for Loan
6,19,0,18130,31,1679,99042,6,41,0,Not Qualify for Loan
11,5,1,58073,28,246049,140373,0,91,12,Qualify for Loan
19,6,1,89067,50,288083,162217,1,78,8,Qualify for Loan
8,2,1,60219,42,281527,124965,0,93,11,Qualify for Loan
10,3,1,79758,33,118670,132279,0,85,11,Qualify for Loan
7,9,0,39750,39,27523,66727,7,43,1,Not Qualify for Loan
8,9,1,38228,22,34521,152788,9,38,2,Not Qualify for Loan
8,15,0,39304,38,4493,80085,6,55,0,Not Qualify for Loan
2,13,1,25149,42,39951,84400,8,64,4,Not Qualify for Loan
9,1,1,104028,45,169246,105731,0,87,4,Qualify for Loan
5,7,1,34504,30,13323,129657,9,35,5,Not Qualify for Loan
0,8,1,45098,43,21225,164678,2,40,4,Not Qualify for Loan
14,7,1,159639,50,121696,111510,0,74,11,Qualify for Loan
11,4,1,181888,54,266752,52050,0,83,9,Qualify for Loan
9,3,1,134456,30,237872,147239,0,97,8,Qualify for Loan
0,11,0,25935,23,489,74516,6,41,5,Not Qualify for Loan
0,14,0,30953,43,49146,97889,7,48,3,Not Qualify for Loan
11,4,1,178923,25,122692,188440,0,78,5,Qualify for Loan
11,6,1,171374,48,161317,189789,1,97,8,Qualify for Loan
2,8,1,13224,33,11536,58541,5,39,3,Not Qualify for Loan
15,2,1,85095,53,65523,112433,0,93,9,Qualify for Loan
0,12,0,35215,22,33209,117960,8,57,4,Not Qualify for Loan
10,6,1,199803,43,160384,118926,1,88,7,Qualify for Loan
5,12,0,37747,32,42838,137692,6,53,0,Not Qualify for Loan
9,17,0,59154,41,8397,183407,9,23,2,Not Qualify for Loan
7,7,0,30536,34,27810,107842,3,27,1,Not Qualify for Loan
10,3,1,189302,31,224427,80795,0,72,7,Qualify for Loan
0,9,1,16989,24,39029,30887,4,52,5,Not Qualify for Loan
12,5,1,173241,53,203124,58036,0,92,7,Qualify for Loan
11,7,1,141570,51,119724,165359,1,98,11,Qualify for Loan
16,5,1,46970,51,267776,96540,0,71,10,Qualify for Loan
2,8,0,26193,40,19233,242802,7,34,2,Not Qualify for Loan
3,17,0,19914,38,22299,73585,3,64,5,Not Qualify for Loan
10,6,1,66715,46,149853,81174,0,98,7,Qualify for Loan
5,11,0,19741,42,24703,134245,6,39,4,Not Qualify for Loan
18,5,1,101087,48,118840,168451,0,99,2,Qualify for Loan
1,12,1,56087,32,33110,62174,9,31,5,Not Qualify for Loan
8,7,1,101035,43,94363,128279,0,90,14,Qualify for Loan
3,6,0,44911,43,23190,168429,9,56,3,Not Qualify for Loan
16,6,1,77991,42,294265,188043,1,75,13,Qualify for Loan
14,0,1,95754,31,159847,88467,1,75,11,Qualify for Loan
14,6,1,108648,31,120028,72207,0,83,4,Qualify for Loan
17,6,1,134914,47,257990,166243,0,74,7,Qualify for Loan
16,6,1,69402,32,277595,97924,0,79,14,Qualify for Loan
6,15,1,35582,42,13689,194006,6,36,1,Not Qualify for Loan
10,6,1,50651,32,128931,152112,1,95,4,Qualify for Loan
10,6,1,182483,31,264835,189752,0,77,8,Qualify for Loan
9,2,1,172992,26,250796,193279,0,82,2,Qualify for Loan
