Invoice ID,city,customertype,gender,product,itemprice,quantity,total,date,time,payment,customersalary,rating
750-67-8428,Nairobi,Member,Female,Health and beauty,74.69,7,548.9715,1/5/2019,13:08,MPESA,26.1415,9.1
226-31-3081,Nakuru,Normal,Female,Electronic accessories,15.28,5,80.22,3/8/2019,10:29,Cash,3.82,9.6
631-41-3108,Nairobi,Normal,Female,Home and lifestyle,46.33,7,340.5255,3/3/2019,13:23,Credit card,16.2155,7.4
123-19-1176,Nairobi,Member,Female,Health and beauty,58.22,8,489.048,1/27/2019,20:33,MPESA,23.288,8.4
373-73-7910,Nairobi,Normal,Female,Health and beauty,86.31,7,634.3785,2/8/2019,10:37,MPESA,30.2085,5.3
699-14-3026,Nairobi,Normal,Female,Health and beauty,85.39,7,627.6165,2/8/2019,18:30,MPESA,29.8865,4.1
355-53-5943,Nairobi,Member,Female,Health and beauty,68.84,6,433.692,2/8/2019,14:36,MPESA,20.652,5.8
315-22-5665,Nairobi,Normal,Female,Health and beauty,73.56,10,772.38,2/8/2019,11:38,MPESA,36.78,8
665-32-9167,Nairobi,Member,Female,Health and beauty,36.26,2,76.146,2/8/2019,17:15,Credit card,3.626,7.2
692-92-5582,Nairobi,Member,Female,Health and beauty,54.84,3,172.746,2/8/2019,13:27,Credit card,8.226,5.9
351-62-0822,Nairobi,Member,Female,Health and beauty,14.48,4,60.816,2/8/2019,18:07,MPESA,2.896,4.5
529-56-3974,Nairobi,Member,Male,Electronic accessories,25.51,4,107.142,2/8/2019,17:03,Cash,5.102,6.8
365-64-0515,Nairobi,Normal,Female,Electronic accessories,46.95,5,246.4875,2/8/2019,10:25,MPESA,11.7375,7.1
252-56-2699,Nairobi,Normal,Male,Food and beverages,43.19,10,453.495,2/8/2019,16:48,MPESA,21.595,8.2
829-34-3910,Nairobi,Normal,Female,Health and beauty,71.38,10,749.49,2/8/2019,19:21,Cash,35.69,5.7
299-46-1805,Nairobi,Member,Female,Sports and travel,93.72,6,590.436,2/8/2019,16:19,Cash,28.116,4.5
656-95-9349,Nairobi,Member,Female,Health and beauty,68.93,7,506.6355,2/8/2019,11:03,Credit card,24.1255,4.6
765-26-6951,Nairobi,Normal,Male,Sports and travel,72.61,6,457.443,2/8/2019,10:39,Credit card,21.783,6.9
329-62-1586,Nairobi,Normal,Male,Food and beverages,54.67,3,172.2105,2/8/2019,18:00,Credit card,8.2005,8.6
319-50-3348,Nairobi,Normal,Female,Home and lifestyle,40.3,2,84.63,2/8/2019,15:30,MPESA,4.03,4.4
300-71-4605,Nairobi,Member,Female,Home and lifestyle,86.04,5,451.71,2/8/2019,11:24,MPESA,21.51,4.8
371-85-5789,Nairobi,Normal,Female,Home and lifestyle,87.98,3,277.137,2/8/2019,10:40,MPESA,13.197,5.1
273-16-6619,Nairobi,Normal,Male,Home and lifestyle,33.2,2,69.72,2/8/2019,12:20,Credit card,3.32,4.4
636-48-8204,Nairobi,Normal,Male,Electronic accessories,34.56,5,181.44,2/8/2019,11:15,MPESA,8.64,9.9
549-59-1358,Nairobi,Member,Male,Electronic accessories,88.63,3,279.1845,2/8/2019,17:36,MPESA,13.2945,6
227-03-5010,Nairobi,Member,Female,Home and lifestyle,52.59,8,441.756,2/8/2019,19:20,Credit card,21.036,8.5
649-29-6775,Nairobi,Normal,Male,Fashion accessories,33.52,1,35.196,2/8/2019,15:31,Cash,1.676,6.7
189-17-4241,Nairobi,Normal,Female,Fashion accessories,87.67,2,184.107,3/10/2019,12:17,Credit card,8.767,7.7
145-94-9061,Nairobi,Normal,Female,Food and beverages,88.36,5,463.89,1/25/2019,19:48,Cash,22.09,9.6
848-62-7243,Nairobi,Normal,Male,Health and beauty,24.89,9,235.2105,3/15/2019,15:36,Cash,11.2005,7.4
871-79-8483,Nairobi,Normal,Male,Fashion accessories,94.13,5,494.1825,2/25/2019,19:39,Credit card,23.5325,4.8
149-71-6266,Nairobi,Member,Male,Electronic accessories,78.07,9,737.7615,2/25/2019,12:43,Cash,35.1315,4.5
640-49-2076,Nairobi,Normal,Male,Electronic accessories,83.78,8,703.752,2/25/2019,14:49,Cash,33.512,5.1
595-11-5460,Nairobi,Normal,Male,Health and beauty,96.58,2,202.818,2/25/2019,10:12,Credit card,9.658,5.1
183-56-6882,Nairobi,Member,Female,Health and beauty,99.42,4,417.564,2/25/2019,10:42,MPESA,19.884,7.5
232-16-2483,Nairobi,Member,Female,Health and beauty,68.12,1,71.526,2/25/2019,12:28,MPESA,3.406,6.8
129-29-8530,Nairobi,Member,Male,Electronic accessories,62.62,5,328.755,2/25/2019,19:15,MPESA,15.655,7
272-65-1806,Nairobi,Normal,Female,Electronic accessories,60.88,9,575.316,2/25/2019,17:17,MPESA,27.396,4.7
333-73-7901,Nairobi,Normal,Female,Health and beauty,54.92,8,461.328,2/25/2019,13:24,MPESA,21.968,7.6
777-82-7220,Nairobi,Member,Male,Home and lifestyle,30.12,8,253.008,2/25/2019,13:01,Cash,12.048,7.7
280-35-5823,Nakuru,Member,Female,Home and lifestyle,86.72,1,91.056,2/25/2019,18:45,MPESA,4.336,7.9
554-53-8700,Nairobi,Member,Male,Home and lifestyle,56.11,2,117.831,2/25/2019,10:11,Cash,5.611,6.3
354-25-5821,Nairobi,Member,Female,Electronic accessories,69.12,6,435.456,2/25/2019,13:03,Cash,20.736,5.6
228-96-1411,Nairobi,Member,Female,Food and beverages,98.7,8,829.08,2/25/2019,20:39,Cash,39.48,7.6
617-15-4209,Nairobi,Member,Male,Health and beauty,15.37,2,32.277,2/25/2019,19:47,Cash,1.537,7.2
132-32-9879,Nairobi,Member,Female,Electronic accessories,93.96,4,394.632,2/25/2019,18:00,Cash,18.792,9.5
370-41-7321,Nairobi,Member,Male,Health and beauty,56.69,9,535.7205,2/25/2019,17:24,Credit card,25.5105,8.4
727-46-3608,Nairobi,Member,Female,Food and beverages,20.01,9,189.0945,2/25/2019,15:47,MPESA,9.0045,4.1
669-54-1719,Nakuru,Member,Male,Electronic accessories,18.93,6,119.259,2/25/2019,12:45,MPESA,5.679,8.1
574-22-5561,Nairobi,Member,Female,Fashion accessories,82.63,10,867.615,2/25/2019,17:08,MPESA,41.315,7.9
326-78-5178,Nairobi,Member,Male,Food and beverages,91.4,7,671.79,2/25/2019,10:19,MPESA,31.99,9.5
162-48-8011,Nairobi,Member,Female,Food and beverages,44.59,5,234.0975,2/25/2019,15:10,MPESA,11.1475,8.5
616-24-2851,Nairobi,Member,Female,Fashion accessories,17.87,4,75.054,2/25/2019,14:42,MPESA,3.574,6.5
778-71-5554,Nairobi,Member,Male,Fashion accessories,15.43,1,16.2015,2/25/2019,15:46,MPESA,0.7715,6.1
242-55-6721,Nairobi,Normal,Male,Home and lifestyle,16.16,2,33.936,2/25/2019,11:49,MPESA,1.616,6.5
399-46-5918,Nakuru,Normal,Female,Electronic accessories,85.98,8,722.232,2/25/2019,19:01,MPESA,34.392,8.2
106-35-6779,Nairobi,Member,Male,Home and lifestyle,44.34,2,93.114,2/25/2019,11:26,MPESA,4.434,5.8
635-40-6220,Nakuru,Normal,Male,Health and beauty,89.6,8,752.64,2/25/2019,11:28,MPESA,35.84,6.6
817-48-8732,Nairobi,Member,Female,Home and lifestyle,72.35,10,759.675,2/25/2019,15:55,MPESA,36.175,5.4
120-06-4233,Nakuru,Normal,Male,Electronic accessories,30.61,6,192.843,3/12/2019,20:36,MPESA,9.183,9.3
285-68-5083,Nakuru,Member,Female,Electronic accessories,24.74,3,77.931,2/15/2019,17:47,MPESA,3.711,10
803-83-5989,Nakuru,Normal,Male,Home and lifestyle,55.73,6,351.099,2/24/2019,10:55,MPESA,16.719,7
347-34-2234,Mombasa,Member,Female,Electronic accessories,55.07,9,520.4115,2/3/2019,13:40,MPESA,24.7815,10
199-75-8169,Nairobi,Member,Male,Electronic accessories,15.81,10,166.005,3/6/2019,12:27,MPESA,7.905,8.6
853-23-2453,Mombasa,Member,Male,Health and beauty,75.74,4,318.108,2/14/2019,14:35,MPESA,15.148,7.6
877-22-3308,Nairobi,Member,Male,Health and beauty,15.87,10,166.635,3/13/2019,16:40,MPESA,7.935,5.8
838-78-4295,Nakuru,Normal,Female,Health and beauty,33.47,2,70.287,2/10/2019,15:43,MPESA,3.347,6.7
109-28-2512,Mombasa,Member,Female,Fashion accessories,97.61,6,614.943,1/7/2019,15:01,MPESA,29.283,9.9
232-11-3025,Nairobi,Normal,Male,Electronic accessories,78.77,10,827.085,1/24/2019,10:04,MPESA,39.385,6.4
382-03-4532,Nairobi,Member,Female,Health and beauty,18.33,1,19.2465,2/2/2019,18:50,MPESA,0.9165,4.3
393-65-2792,Nakuru,Normal,Male,Food and beverages,89.48,10,939.54,1/6/2019,12:46,MPESA,44.74,9.6
796-12-2025,Nakuru,Normal,Male,Fashion accessories,62.12,10,652.26,2/11/2019,16:19,MPESA,31.06,5.9
510-95-6347,Mombasa,Member,Female,Food and beverages,48.52,3,152.838,3/5/2019,18:17,MPESA,7.278,4
841-35-6630,Nakuru,Normal,Female,Electronic accessories,75.91,6,478.233,3/9/2019,18:21,MPESA,22.773,8.7
287-21-9091,Nairobi,Normal,Male,Home and lifestyle,74.67,9,705.6315,1/22/2019,10:55,MPESA,33.6015,9.4
732-94-0499,Nakuru,Normal,Female,Electronic accessories,41.65,10,437.325,1/13/2019,17:04,MPESA,20.825,5.4
263-10-3913,Nakuru,Member,Male,Fashion accessories,49.04,9,463.428,1/9/2019,14:20,MPESA,22.068,8.6
381-20-0914,Nairobi,Member,Female,Fashion accessories,20.01,9,189.0945,1/12/2019,15:48,MPESA,9.0045,5.7
829-49-1914,Nakuru,Member,Female,Food and beverages,78.31,10,822.255,3/5/2019,16:24,MPESA,39.155,6.6
756-01-7507,Nakuru,Normal,Female,Health and beauty,20.38,5,106.995,1/22/2019,18:56,MPESA,5.095,6
870-72-4431,Nakuru,,Female,Health and beauty,99.19,6,624.897,1/21/2019,14:42,MPESA,29.757,5.5
847-38-7188,Mombasa,Normal,Female,Food and beverages,96.68,3,304.542,1/26/2019,19:56,MPESA,14.502,6.4
480-63-2856,Nakuru,Normal,Male,Food and beverages,19.25,8,161.7,1/23/2019,18:37,MPESA,7.7,6.6
787-56-0757,Nakuru,Member,Female,Food and beverages,80.36,4,337.512,2/23/2019,18:45,MPESA,16.072,8.3
360-39-5055,Nakuru,Member,Male,Electronic accessories,48.91,5,256.7775,3/9/2019,10:17,MPESA,12.2275,6.6
730-50-9884,Nakuru,Normal,Female,Electronic accessories,83.06,7,610.491,3/5/2019,14:31,MPESA,29.071,4
362-58-8315,Nakuru,Normal,Male,Fashion accessories,76.52,5,401.73,3/25/2019,10:23,MPESA,19.13,9.9
633-44-8566,Nairobi,Member,Male,Food and beverages,49.38,7,362.943,3/27/2019,20:35,MPESA,17.283,7.3
504-35-8843,Nairobi,Normal,Male,Electronic accessories,42.47,1,44.5935,1/2/2019,16:57,MPESA,2.1235,5.7
318-68-5053,Mombasa,Normal,Female,Health and beauty,76.99,6,485.037,2/27/2019,17:55,MPESA,23.097,6.1
565-80-5980,Nakuru,Member,Female,Home and lifestyle,47.38,4,198.996,1/23/2019,10:25,MPESA,9.476,7.1
225-32-0908,Nakuru,Normal,Female,Electronic accessories,44.86,10,471.03,1/26/2019,19:54,MPESA,22.43,8.2
873-51-0671,Nairobi,Member,Female,Electronic accessories,21.98,7,161.553,1/10/2019,16:42,MPESA,7.693,5.1
152-08-9985,Mombasa,Member,Male,Health and beauty,64.36,9,608.202,3/12/2019,12:09,MPESA,28.962,8.6
512-91-0811,Nakuru,Normal,Male,Health and beauty,89.75,1,94.2375,2/6/2019,20:05,MPESA,4.4875,6.6
594-34-4444,Nairobi,Normal,Male,Electronic accessories,97.16,1,102.018,3/8/2019,20:38,MPESA,4.858,7.2
766-85-7061,Mombasa,Normal,Male,Health and beauty,87.87,10,922.635,3/29/2019,10:25,MPESA,43.935,5.1
871-39-9221,Nakuru,Normal,Female,Electronic accessories,12.45,6,78.435,2/9/2019,13:11,MPESA,3.735,4.1
865-92-6136,Nairobi,Normal,Male,Food and beverages,52.75,3,166.1625,3/23/2019,10:16,MPESA,7.9125,9.3
733-01-9107,Mombasa,Normal,Male,Home and lifestyle,82.7,6,521.01,3/5/2019,18:14,MPESA,24.81,7.4
163-56-7055,Nakuru,Member,Male,Fashion accessories,48.71,1,51.1455,3/26/2019,19:20,MPESA,2.4355,4.1
189-98-2939,Nakuru,Normal,Male,Fashion accessories,78.55,9,742.2975,3/1/2019,13:22,MPESA,35.3475,7.2
551-21-3069,Nakuru,Normal,Female,Electronic accessories,23.07,9,218.0115,2/1/2019,11:27,MPESA,10.3815,4.9
212-62-1842,Nairobi,Normal,Male,Food and beverages,58.26,6,367.038,3/28/2019,16:44,MPESA,17.478,9.9
716-39-1409,Mombasa,Normal,Male,Health and beauty,30.35,7,223.0725,3/19/2019,18:19,MPESA,10.6225,8
704-48-3927,Nairobi,Member,Male,Electronic accessories,88.67,10,931.035,1/12/2019,14:50,MPESA,44.335,7.3
628-34-3388,Nakuru,Normal,Male,Fashion accessories,27.38,6,172.494,1/5/2019,20:54,MPESA,8.214,7.9
630-74-5166,Nairobi,Normal,Male,Electronic accessories,62.13,6,391.419,3/22/2019,20:19,Cash,18.639,7.4
588-01-7461,Nakuru,Normal,Female,Food and beverages,33.98,9,321.111,3/24/2019,10:43,Cash,15.291,4.2
861-77-0145,Nakuru,Member,Male,Electronic accessories,81.97,10,860.685,3/3/2019,14:30,Cash,40.985,9.2
479-26-8945,Mombasa,Member,Female,Electronic accessories,16.49,2,34.629,2/5/2019,11:32,MPESA,1.649,4.6
210-67-5886,Nakuru,Member,Female,Health and beauty,98.21,3,309.3615,2/5/2019,10:41,Credit card,14.7315,7.8
227-78-1148,Mombasa,,Female,Fashion accessories,72.84,7,535.374,2/15/2019,12:44,Cash,25.494,8.4
645-44-1170,Nairobi,Member,Male,Home and lifestyle,58.07,9,548.7615,1/19/2019,20:07,MPESA,26.1315,4.3
237-01-6122,Nakuru,Member,Female,Home and lifestyle,80.79,9,763.4655,2/1/2019,20:31,Credit card,36.3555,9.5
225-98-1496,Nakuru,Normal,Female,Fashion accessories,27.02,3,85.113,3/2/2019,13:01,Credit card,4.053,7.1
291-32-1427,Mombasa,Member,Male,Fashion accessories,21.94,5,115.185,3/5/2019,12:29,MPESA,5.485,5.3
659-65-8956,Mombasa,Member,Male,Fashion accessories,51.36,1,53.928,1/16/2019,15:26,MPESA,2.568,5.2
642-32-2990,Nairobi,Normal,Female,Food and beverages,10.96,10,115.08,2/2/2019,20:48,MPESA,5.48,6
378-24-2715,Mombasa,Normal,Male,Home and lifestyle,53.44,2,112.224,1/20/2019,20:38,MPESA,5.344,4.1
638-60-7125,Nairobi,Normal,Female,Electronic accessories,99.56,8,836.304,2/14/2019,17:03,Credit card,39.824,5.2
659-36-1684,Nakuru,Member,Male,Electronic accessories,57.12,7,419.832,1/12/2019,12:02,Credit card,19.992,6.5
219-22-9386,Mombasa,Member,Male,Electronic accessories,99.96,9,944.622,3/9/2019,17:26,Credit card,44.982,4.2
336-78-2147,Nakuru,Member,Male,Home and lifestyle,63.91,8,536.844,3/13/2019,19:52,Credit card,25.564,4.6
268-27-6179,Mombasa,Member,Female,Fashion accessories,56.47,8,474.348,3/9/2019,14:57,MPESA,22.588,7.3
668-90-8900,Nairobi,Normal,Female,Home and lifestyle,93.69,7,688.6215,3/10/2019,18:44,Credit card,32.7915,4.5
870-54-3162,Nairobi,Normal,Female,Electronic accessories,32.25,5,169.3125,1/27/2019,13:26,Cash,8.0625,9
189-08-9157,Nakuru,Normal,Female,Fashion accessories,31.73,9,299.8485,1/8/2019,16:17,Credit card,14.2785,5.9
663-86-9076,Nakuru,Member,Female,Food and beverages,68.54,8,575.736,1/8/2019,15:57,MPESA,27.416,8.5
549-84-7482,Mombasa,Normal,Female,Electronic accessories,90.28,9,853.146,2/8/2019,11:15,MPESA,40.626,7.2
191-10-6171,Mombasa,Normal,Female,Fashion accessories,39.62,7,291.207,1/25/2019,13:18,Cash,13.867,7.5
802-70-5316,Nairobi,Member,Female,Electronic accessories,92.13,6,580.419,3/6/2019,20:34,Cash,27.639,8.3
695-51-0018,Mombasa,Normal,Female,Electronic accessories,34.84,4,146.328,2/10/2019,18:36,Cash,6.968,7.4
590-83-4591,Mombasa,Member,Male,Electronic accessories,87.45,6,550.935,2/17/2019,14:40,Credit card,26.235,8.8
483-71-1164,Nakuru,Normal,Female,Health and beauty,81.3,6,512.19,3/8/2019,16:43,MPESA,24.39,5.3
597-78-7908,Nakuru,Normal,Male,Fashion accessories,90.22,3,284.193,2/18/2019,19:39,Cash,13.533,6.2
700-81-1757,Nairobi,Normal,Female,Electronic accessories,26.31,5,138.1275,1/18/2019,20:59,Credit card,6.5775,8.8
354-39-5160,Nairobi,Member,Female,Home and lifestyle,34.42,6,216.846,2/18/2019,15:39,Cash,10.326,9.8
241-72-9525,Mombasa,Normal,Male,Electronic accessories,51.91,10,545.055,2/16/2019,12:21,Cash,25.955,8.2
575-30-8091,Nairobi,Normal,Male,Electronic accessories,72.5,8,609,3/16/2019,19:25,MPESA,29,9.2
731-81-9469,Nakuru,Member,Female,Electronic accessories,89.8,10,942.9,1/23/2019,13:00,Credit card,44.9,5.4
280-17-4359,Nakuru,Member,Male,Health and beauty,90.5,10,950.25,1/25/2019,13:48,Cash,45.25,8.1
338-65-2210,Nakuru,Member,Female,Health and beauty,68.6,10,720.3,2/5/2019,19:57,Cash,34.3,9.1
488-25-4221,Nakuru,Member,Female,Health and beauty,30.41,1,31.9305,2/22/2019,10:36,Credit card,1.5205,8.4
239-10-7476,Nairobi,Normal,Female,Health and beauty,77.95,6,491.085,1/21/2019,16:37,MPESA,23.385,8
458-41-1477,Nakuru,Normal,Female,Health and beauty,46.26,6,291.438,3/8/2019,17:11,Credit card,13.878,9.5
685-64-1609,Nairobi,Member,Female,Health and beauty,30.14,10,316.47,2/10/2019,12:28,MPESA,15.07,9.2
568-90-5112,Nakuru,Normal,Female,Health and beauty,66.14,4,277.788,3/19/2019,12:46,Credit card,13.228,5.6
262-47-2794,Mombasa,Member,Female,Health and beauty,71.86,8,603.624,3/6/2019,15:07,Credit card,28.744,6.2
238-49-0436,Nairobi,Normal,Female,Health and beauty,32.46,8,272.664,3/27/2019,13:48,Credit card,12.984,4.9
608-96-3517,Mombasa,,Female,Health and beauty,91.54,4,384.468,3/23/2019,19:20,Credit card,18.308,4.8
584-86-7256,Nakuru,Member,Male,Electronic accessories,34.56,7,254.016,3/11/2019,16:07,Credit card,12.096,7.3
746-94-0204,Nairobi,Normal,Female,Health and beauty,83.24,9,786.618,1/29/2019,11:56,Credit card,37.458,7.4
214-17-6927,Nakuru,Normal,Female,Health and beauty,16.48,6,103.824,2/7/2019,18:23,MPESA,4.944,9.9
400-89-4171,Nakuru,Normal,Female,Health and beauty,80.97,8,680.148,1/28/2019,13:05,Cash,32.388,9.3
782-95-9291,Nairobi,Member,Female,Health and beauty,92.29,5,484.5225,2/20/2019,15:55,Credit card,23.0725,9
279-74-2924,Mombasa,Member,Female,Health and beauty,72.17,1,75.7785,1/4/2019,19:40,Cash,3.6085,6.1
307-85-2293,Mombasa,Normal,Female,Health and beauty,50.28,5,263.97,3/7/2019,13:58,MPESA,12.57,9.7
743-04-1105,Mombasa,Member,Male,Health and beauty,97.22,9,918.729,3/30/2019,14:43,MPESA,43.749,6
423-57-2993,Mombasa,Normal,Male,Electronic accessories,93.39,6,588.357,3/27/2019,19:18,MPESA,28.017,10
894-41-5205,Nakuru,Normal,Female,Food and beverages,43.18,8,362.712,1/19/2019,19:39,Credit card,17.272,8.3
275-28-0149,Nairobi,Normal,Male,Electronic accessories,63.69,1,66.8745,2/25/2019,16:21,Cash,3.1845,6
101-17-6199,Nairobi,Normal,Male,Food and beverages,45.79,7,336.5565,3/13/2019,19:44,Credit card,16.0265,7
423-80-0988,Nakuru,Normal,Female,Electronic accessories,76.4,2,160.44,1/30/2019,19:42,MPESA,7.64,6.5
548-46-9322,Mombasa,Normal,Female,Food and beverages,39.9,10,418.95,2/20/2019,15:24,Credit card,19.95,5.9
505-02-0892,Mombasa,Member,Female,Health and beauty,42.57,8,357.588,2/25/2019,14:12,MPESA,17.028,5.6
234-65-2137,Nakuru,Normal,Female,Health and beauty,95.58,10,1003.59,1/16/2019,13:32,Cash,47.79,4.8
687-47-8271,Nairobi,Normal,Female,Health and beauty,98.98,10,1039.29,2/8/2019,16:20,Credit card,49.49,8.7
796-32-9050,Nairobi,Normal,Female,Health and beauty,51.28,6,323.064,1/19/2019,16:31,Cash,15.384,6.5
105-31-1824,Nairobi,Member,Female,Health and beauty,69.52,7,510.972,2/1/2019,15:10,Credit card,24.332,8.5
249-42-3782,Nairobi,Normal,Female,Health and beauty,70.01,5,367.5525,1/3/2019,11:36,MPESA,17.5025,5.5
316-55-4634,Mombasa,,Female,Health and beauty,80.05,5,420.2625,1/26/2019,12:45,Credit card,20.0125,9.4
733-33-4967,Nakuru,Normal,Female,Health and beauty,20.85,8,175.14,3/3/2019,19:17,Cash,8.34,6.3
608-27-6295,Mombasa,Member,Female,Health and beauty,52.89,6,333.207,1/19/2019,17:34,Credit card,15.867,9.8
414-12-7047,Mombasa,Normal,Female,Health and beauty,19.79,8,166.236,1/18/2019,12:04,MPESA,7.916,8.7
827-26-2100,Nairobi,Member,Female,Home and lifestyle,33.84,9,319.788,3/21/2019,16:21,MPESA,15.228,8.8
175-54-2529,Nairobi,Member,Female,Food and beverages,22.17,8,186.228,3/3/2019,17:01,Credit card,8.868,9.6
139-52-2867,Nakuru,Normal,Female,Fashion accessories,22.51,7,165.4485,2/13/2019,10:50,Credit card,7.8785,4.8
407-63-8975,Nairobi,Normal,Male,Food and beverages,73.88,6,465.444,3/23/2019,19:16,MPESA,22.164,4.4
342-65-4817,Nakuru,Member,Male,Health and beauty,86.8,3,273.42,1/28/2019,16:47,MPESA,13.02,9.9
130-98-8941,Nakuru,Normal,Male,Fashion accessories,64.26,7,472.311,2/9/2019,10:00,Cash,22.491,5.7
434-83-9547,Nakuru,Member,Female,Food and beverages,38.47,8,323.148,1/23/2019,11:51,Cash,15.388,7.7
